entry_tariff,satisfaction,staff_ratio,career_prospects,continuation,research_quality,rank_lag1,satisfaction_lag1,staff_ratio_lag1,career_lag1,rank_change,satisfaction_change,staff_ratio_change,career_change,rank_3yr_avg,satisfaction_3yr_avg,rank,volatility_label,university,year
108,3.94,18.4,72.7,88.9,1.96,119.0,3.94,20.2,72.7,-13.0,0.0,-1.8000000000000007,0.0,115.0,3.94,106,rising,Bishop Grosseteste,2021
102,3.84,19.8,70.8,89.4,1.92,122.0,3.31,19.1,70.8,-4.0,0.5299999999999998,0.6999999999999993,0.0,120.0,3.575,118,stable,Bishop Grosseteste University,2023
107,3.31,17.6,70.8,88.75,1.92,118.0,3.84,19.8,70.8,11.0,-0.5299999999999998,-2.1999999999999993,0.0,123.0,3.486666666666667,129,falling,Bishop Grosseteste University,2024
107,3.3,17.6,70.8,88.75,1.92,129.0,3.31,17.6,70.8,-7.0,-0.010000000000000231,0.0,0.0,123.0,3.483333333333333,122,stable,Bishop Grosseteste University,2025
105,3.31,18.5,70.8,88.75,1.92,122.0,3.3,17.6,70.8,-4.0,0.010000000000000231,0.8999999999999986,0.0,123.0,3.3066666666666666,118,stable,Bishop Grosseteste University,2026
282,3.98,17.9,57.0,71.2,2.04,121.0,3.98,19.9,52.9,0.0,0.0,-2.0,4.100000000000001,121.0,3.98,121,stable,Bolton,2016
283,3.98,15.9,59.9,71.1,2.04,121.0,3.98,17.9,57.0,1.0,0.0,-1.9999999999999982,2.8999999999999986,121.33333333333333,3.98,122,stable,Bolton,2017
283,3.98,15.1,58.7,68.4,2.04,122.0,3.98,15.9,59.9,3.0,0.0,-0.8000000000000007,-1.1999999999999957,122.66666666666667,3.98,125,stable,Bolton,2018
112,3.98,14.7,64.2,68.9,2.04,125.0,3.98,15.1,58.7,1.0,0.0,-0.40000000000000036,5.5,124.33333333333333,3.98,126,stable,Bolton,2019
115,3.98,14.2,56.5,72.8,2.04,126.0,3.98,14.7,64.2,2.0,0.0,-0.5,-7.700000000000003,126.33333333333333,3.98,128,stable,Bolton,2020
110,3.98,14.4,56.5,72.2,2.04,128.0,3.98,14.2,56.5,-1.0,0.0,0.20000000000000107,0.0,127.0,3.98,127,stable,Bolton,2021
327,3.89,18.0,62.9,86.0,2.72,65.0,3.91,21.6,63.4,-11.0,-0.020000000000000018,-3.6000000000000014,-0.5,59.5,3.9000000000000004,54,rising,Bournemouth,2016
321,3.9,17.3,65.8,85.5,2.72,54.0,3.89,18.0,62.9,2.0,0.009999999999999787,-0.6999999999999993,2.8999999999999986,58.333333333333336,3.9,56,stable,Bournemouth,2017
312,4.0,16.5,71.2,83.9,2.72,56.0,3.9,17.3,65.8,1.0,0.10000000000000009,-0.8000000000000007,5.400000000000006,55.666666666666664,3.9299999999999997,57,stable,Bournemouth,2018
